Year,TeamA,TeamB,GameType,Home,goalA,goalB,ExtraInfo
2016,Czech Republic,Turkey,Group stage,,0,2,
2016,Croatia,Spain,Group stage,,2,1,
2016,Iceland,Austria,Group stage,,2,1,
2016,Hungary,Portugal,Group stage,,3,3,
2016,Sweden,Belgium,Group stage,,0,1,
2016,Italy,Republic of Ireland,Group stage,,0,1,
2016,Switzerland,Poland,Round of 16,,1,1,ET (1:1) PENS (4:5)
2016,Wales,Northern Ireland,Round of 16,,1,0,
2016,Croatia,Portugal,Round of 16,,0,0,ET (0:1)
2016,France,Republic of Ireland,Round of 16,A,2,1,
2016,Germany,Slovakia,Round of 16,,3,0,
2016,Hungary,Belgium,Round of 16,,0,4,
2016,Italy,Spain,Round of 16,,2,0,
2016,England,Iceland,Round of 16,,1,2,
2016,Poland,Portugal,Quarter-finals,,1,1,ET (1:1) PENS (3:5)
2016,Wales,Belgium,Quarter-finals,,3,1,
2016,Germany,Italy,Quarter-finals,,1,1,ET (1:1) PENS (6:5)
2016,France,Iceland,Quarter-finals,A,5,2,
2016,Portugal,Wales,Semi-finals,,2,0,
2016,Germany,France,Semi-finals,B,0,2,
2016,Portugal,France,Final,B,0,0,ET (1:0)
2021,Turkey,Italy,Group stage,B,0,3,
2021,Wales,Switzerland,Group stage,,1,1,
2021,Denmark,Finland,Group stage,A,0,1,
2021,Belgium,Russia,Group stage,B,3,0,
2021,England,Croatia,Group stage,A,1,0,
2021,Austria,North Macedonia,Group stage,,3,1,
2021,Netherlands,Ukraine,Group stage,A,3,2,
2021,Scotland,Czech Republic,Group stage,A,0,2,
2021,Poland,Slovakia,Group stage,,1,2,
2021,Spain,Sweden,Group stage,A,0,0,
2021,Hungary,Portugal,Group stage,A,0,3,
2021,France,Germany,Group stage,B,1,0,
2021,Finland,Russia,Group stage,B,0,1,
2021,Turkey,Wales,Group stage,,0,2,
2021,Italy,Switzerland,Group stage,A,3,0,
2021,Ukraine,North Macedonia,Group stage,,2,1,
2021,Denmark,Belgium,Group stage,A,1,2,
2021,Netherlands,Austria,Group stage,A,2,0,
2021,Sweden,Slovakia,Group stage,,1,0,
2021,Croatia,Czech Republic,Group stage,,1,1,
2021,England,Scotland,Group stage,A,0,0,
2021,Hungary,France,Group stage,A,1,1,
2021,Portugal,Germany,Group stage,B,2,4,
2021,Spain,Poland,Group stage,A,1,1,
2021,Italy,Wales,Group stage,A,1,0,
2021,Switzerland,Turkey,Group stage,,3,1,
2021,North Macedonia,Netherlands,Group stage,B,0,3,
2021,Ukraine,Austria,Group stage,,0,1,
2021,Russia,Denmark,Group stage,B,1,4,
2021,Finland,Belgium,Group stage,,0,2,
2021,Croatia,Scotland,Group stage,B,3,1,
2021,Czech Republic,England,Group stage,B,0,1,
2021,Sweden,Poland,Group stage,,3,2,
2021,Slovakia,Spain,Group stage,B,0,5,
2021,Germany,Hungary,Group stage,A,2,2,
2021,Portugal,France,Group stage,,2,2,
2021,Wales,Denmark,Round of 16,,0,4,
2021,Italy,Austria,Round of 16,,0,0,ET (2:1)
2021,Netherlands,Czech Republic,Round of 16,,0,2,
2021,Belgium,Portugal,Round of 16,,1,0,
2021,Croatia,Spain,Round of 16,,3,3,ET (3:5)
2021,France,Switzerland,Round of 16,,3,3,
2021,England,Germany,Round of 16,A,2,0,
2021,Sweden,Ukraine,Round of 16,,1,1,ET (1:2)
2021,Switzerland,Spain,Quarter-finals,,1,1,ET (1:1) PENS (1:3)
2021,Belgium,Italy,Quarter-finals,,1,2,
2021,Czech Republic,Denmark,Quarter-finals,,1,2,
2021,Ukraine,England,Quarter-finals,,0,4,
2021,Italy,Spain,Semi-finals,,1,1,ET (1:1) PENS (4:2)
2021,England,Denmark,Semi-finals,A,1,1,ET (2:1)
2021,Italy,England,Final,B,1,1,ET (1:1) PENS (3:2)
